Shapley,variance,CIL,CIU,bCIL,bCIU,type,year,feature
0.188730285,0.402744605,0.152868646,0.224591925,0.155912086,0.223733282,near,2019,CBD
0.001159794,-0.000578371,-0.000199203,0.002518791,0.000677094,0.005193861,near,2019,images
0.091153788,0.228455558,0.064144313,0.118163263,0.065509294,0.117688953,near,2019,land
0.002408878,0.00388318,-0.00111247,0.005930227,0.000454723,0.008919969,near,2019,school
0.022516611,0.048540517,0.010066665,0.034966557,0.012152092,0.037733064,near,2019,station
0.068157801,0.17115278,0.044779806,0.091535795,0.04581274,0.092738578,near,2019,room
0.033534357,0.089474685,0.014543187,0.052525528,0.015967646,0.05722543,far,2019,CBD
0.012532719,0.030515756,0.001441898,0.023623541,0.003309689,0.028433528,far,2019,images
0.139629472,0.334305098,0.102920422,0.176338521,0.106046213,0.177459926,far,2019,land
0.0019039,0.003124321,-0.001644883,0.005452684,0.000159011,0.008882145,far,2019,school
0.000891068,-0.001976354,-0.001931433,0.003713569,0.000514549,0.004670247,far,2019,station
0.18596818,0.409887251,0.14532068,0.226615681,0.147740749,0.225630538,far,2019,room
0.197112843,0.406123772,0.167866951,0.226358736,0.171009069,0.225264969,near,2020,CBD
0.005144851,0.010755681,0.000385425,0.009904278,0.001849662,0.012032141,near,2020,images
0.090080586,0.218459041,0.068630912,0.111530259,0.071662888,0.111292355,near,2020,land
0.002050395,0.002764994,-0.000362746,0.004463537,0.000688429,0.006278642,near,2020,school
0.027219506,0.06112244,0.015873683,0.03856533,0.017010274,0.039521392,near,2020,station
0.065430458,0.160620313,0.047038164,0.083822752,0.046381026,0.085186688,near,2020,room
0.091502601,0.241309961,0.062861053,0.12014415,0.06665916,0.121742604,far,2020,CBD
0.020204061,0.052962632,0.00678588,0.033622242,0.008192324,0.037213772,far,2020,images
0.133611977,0.328471843,0.100195709,0.167028245,0.101898317,0.170823817,far,2020,land
0.000408718,-0.003077979,-0.00282604,0.003643475,0.000246237,0.004254562,far,2020,school
0.004268178,0.004490849,0.000360911,0.008175445,0.001621957,0.011738366,far,2020,station
0.123216359,0.302296858,0.091159152,0.155273566,0.093337537,0.152638403,far,2020,room
